month,SAAR,sales,,averages,weight/yr,,weight/month,"Packaging, transportation, and inventory carrying costs",Labor,Indirect costs,Electricity costs,Raw material,Depreciation costs,708.0,736.8,960.0,,,Adjusted for lead time,,
2024-01,1590,103,,127,0.811023622,,,12,4,4,4,30,5,China,MEX,US,,,China,Mex,US
2024-02,1510,107,,,0.842519685,2024-01,0.811023622,9.732283465,3.244094488,3.244094488,3.244094488,24.33070866,4.05511811,47.9,50.28346457,64.88188976,,,66,69.32283465,89.4488189
2024-03,1545,142,,,1.118110236,2024-02,0.842519685,10.11023622,3.37007874,3.37007874,3.37007874,25.27559055,4.212598425,49.7,52.23622047,67.4015748,,,59.9,62.97637795,81.25984252
2024-04,1590,129,,,1.015748031,2024-03,1.118110236,13.41732283,4.472440945,4.472440945,4.472440945,33.54330709,5.590551181,66.0,69.32283465,89.4488189,,,63.6,66.88188976,86.2992126
2024-05,1510,137,,,1.078740157,2024-04,1.015748031,12.18897638,4.062992126,4.062992126,4.062992126,30.47244094,5.078740157,59.9,62.97637795,81.25984252,,,62.3,65.41732283,84.40944882
2024-06,1580,134,,,1.05511811,2024-05,1.078740157,12.94488189,4.31496063,4.31496063,4.31496063,32.36220472,5.393700787,63.6,66.88188976,86.2992126,,,60.9,63.95275591,82.51968504
2024-07,1580,131,,,1.031496063,2024-06,1.05511811,12.66141732,4.220472441,4.220472441,4.220472441,31.65354331,5.275590551,62.3,65.41732283,84.40944882,,,61.8,64.92913386,83.77952756
2024-08,1500,133,,,1.047244094,2024-07,1.031496063,12.37795276,4.125984252,4.125984252,4.125984252,30.94488189,5.157480315,60.9,63.95275591,82.51968504,,,57.1,60.04724409,77.48031496
2024-09,1550,123,,,0.968503937,2024-08,1.047244094,12.56692913,4.188976378,4.188976378,4.188976378,31.41732283,5.236220472,61.8,64.92913386,83.77952756,,,55.7,58.58267717,75.59055118
2024-10,1570,120,,,0.94488189,2024-09,0.968503937,11.62204724,3.874015748,3.874015748,3.874015748,29.05511811,4.842519685,57.1,60.04724409,77.48031496,,,56.7,59.55905512,76.8503937
2024-11,1520,122,,,0.960629921,2024-10,0.94488189,11.33858268,3.779527559,3.779527559,3.779527559,28.34645669,4.724409449,55.7,58.58267717,75.59055118,,,66.4,62.62270341,90.07874016
2024-12,1610,143,,,1.125984252,2024-11,0.960629921,11.52755906,3.842519685,3.842519685,3.842519685,28.81889764,4.803149606,56.7,59.55905512,76.8503937,,,47.9,50.28346457,64.88188976
